Player,Role,Amount,Team,Year,Player Origin
Aaron Finch,Batsman,40000000,Sunrisers Hyderabad,2014,Overseas
Aaron Finch,Batsman,32000000,Mumbai Indians,2015,Overseas
Aaron Finch,Batsman,10000000,Gujarat Lions,2016,Overseas
Aaron Finch,Batsman,62000000,Kings XI Punjab,2018,Overseas
Aaron Finch,Batsman,44000000,Royal Challengers Bangalore,2020,Overseas
Abdul Samad,All-Rounder,2000000,Sunrisers Hyderabad,2020,Indian
Abhijeet Tomar,Batsman,4000000,Kolkata Knight Riders,2022,Indian
Abhimanyu Mithun,Bowler,3000000,Mumbai Indians,2015,Indian
Abhimanyu Mithun,Bowler,3000000,Sunrisers Hyderabad,2016,Indian
Abhinav Sadarangani,Batsman,26000000,Gujarat Titans,2022,Indian
Abhishek Nayar,All-Rounder,50625000,Pune Warriors India,2013,Indian
Abhishek Nayar,All-Rounder,10000000,Rajasthan Royals,2014,Indian
Abhishek Sharma,All-Rounder,5500000,Delhi Daredevils,2018,Indian
Abhishek Sharma,All-Rounder,65000000,Sunrisers Hyderabad,2022,Indian
Abu Nechim Ahmed,Bowler,3000000,Royal Challengers Bangalore,2014,Indian
Adam Milne,Bowler,7000000,Royal Challengers Bangalore,2015,Overseas
Adam Milne,Bowler,32000000,Mumbai Indians,2021,Overseas
Adam Milne,Bowler,19000000,Chennai Super Kings,2022,Overseas
Adam Zampa,Bowler,3000000,Rising Pune Supergiant,2016,Overseas
Aditya Garhwal,All-Rounder,2500000,Kolkata Knight Riders,2015,Indian
Aditya Tare,Wicket Keeper,16000000,Mumbai Indians,2014,Indian
Aditya Tare,Wicket Keeper,12000000,Sunrisers Hyderabad,2016,Indian
Aditya Tare,Wicket Keeper,2500000,Delhi Daredevils,2017,Indian
Aditya Tare,Wicket Keeper,2000000,Mumbai Indians,2018,Indian
Agnivesh Ayachi,All-Rounder,2000000,Kings XI Punjab,2019,Indian
Aiden Blizzard,Batsman,3000000,Mumbai Indians,2015,Overseas
Aiden Markram,Batsman,26000000,Sunrisers Hyderabad,2022,Overseas
Ajantha Mendis,Bowler,54375000,Pune Warriors India,2013,Overseas
Ajinkya Rahane,Batsman,40000000,Rajasthan Royals,2018,Indian
Ajinkya Rahane,Batsman,10000000,Kolkata Knight Riders,2022,Indian
Akash Deep,Bowler,2000000,Royal Challengers Bangalore,2022,Indian
Akash Singh,Bowler,2000000,Rajasthan Royals,2020,Indian
Akash Singh,Bowler,2000000,Rajasthan Royals,2021,Indian
Akhil Arvind Herwadkar,All-Rounder,1000000,Delhi Daredevils,2016,Indian
Akila Dananjaya,All-Rounder,1500000,Chennai Super Kings,2013,Overseas
Akila Dhananjaya,Bowler,5000000,Mumbai Indians,2018,Overseas
Akshar Rajesh Patel,All-Rounder,7500000,Kings XI Punjab,2014,Indian
Akshay Karnewar,All-Rounder,1000000,Royal Challengers Bangalore,2016,Indian
Akshay Wakhare,Bowler,1000000,Mumbai Indians,2015,Indian
Akshdeep Nath,All-Rounder,1000000,Gujarat Lions,2016,Indian
Akshdeep Nath,All-Rounder,1000000,Gujarat Lions,2017,Indian
Akshdeep Nath,All-Rounder,10000000,Kings XI Punjab,2018,Indian
Akshdeep Nath,All-Rounder,36000000,Royal Challengers Bangalore,2019,Indian
Albie Morkel,All-Rounder,24000000,Royal Challengers Bangalore,2014,Overseas
Albie Morkel,All-Rounder,3000000,Delhi Daredevils,2015,Overseas
Alex Carey,Wicket Keeper,24000000,Delhi Capitals,2020,Overseas
Alex Hales,Batsman,15000000,Kolkata Knight Riders,2022,Overseas
Alzarri Joseph,Bowler,24000000,Gujarat Titans,2022,Overseas
Aman Khan,All-Rounder,2000000,Kolkata Knight Riders,2022,Indian
Ambati Rayudu,Wicket Keeper,22000000,Chennai Super Kings,2018,Indian
Ambati Rayudu,Wicket Keeper,67500000,Chennai Super Kings,2022,Indian
Amit Mishra,Bowler,1000000,Rajasthan Royals,2014,Indian
Amit Mishra,Bowler,47500000,Sunrisers Hyderabad,2014,Indian
Amit Mishra,Bowler,35000000,Delhi Daredevils,2015,Indian
Amit Mishra,Bowler,1000000,Gujarat Lions,2016,Indian
Amit Mishra,Bowler,40000000,Delhi Daredevils,2018,Indian
Amit Paunikar,Wicket Keeper,2000000,Sunrisers Hyderabad,2014,Indian
Andre Russell,All-Rounder,6000000,Kolkata Knight Riders,2014,Overseas
Andrew Tye,Bowler,2000000,Chennai Super Kings,2015,Overseas
Andrew Tye,All-Rounder,5000000,Gujarat Lions,2016,Overseas
Andrew Tye,Bowler,72000000,Kings XI Punjab,2018,Overseas
Andrew Tye,Bowler,10000000,Rajasthan Royals,2020,Overseas
Aneeshwar Gautam,All-Rounder,2000000,Royal Challengers Bangalore,2022,Indian
Angelo Mathews,All-Rounder,75000000,Delhi Daredevils,2015,Overseas
Angelo Mathews,All-Rounder,20000000,Delhi Daredevils,2017,Overseas
Aniket Choudhary,Bowler,20000000,Royal Challengers Bangalore,2017,Indian
Aniket Choudhary,Bowler,3000000,Royal Challengers Bangalore,2018,Indian
Anirudha Ashok Joshi,All-Rounder,2000000,Royal Challengers Bangalore,2018,Indian
Anirudha Ashok Joshi,All-Rounder,2000000,Rajasthan Royals,2020,Indian
Ankeet Bawane,Batsman,1000000,Delhi Daredevils,2017,Indian
Ankit Nagendra Sharma,Bowler,1000000,Rajasthan Royals,2014,Indian
Ankit Sharma,All-Rounder,1000000,Rising Pune Supergiant,2016,Indian
Ankit Sharma,All-Rounder,2000000,Rajasthan Royals,2018,Indian
Ankit Singh Rajpoot,Bowler,15000000,Kolkata Knight Riders,2016,Indian
Ankit Singh Rajpoot,Bowler,30000000,Kings XI Punjab,2018,Indian
Ankit Singh Rajpoot,Bowler,5000000,Lucknow Super Giants,2022,Indian
Ankush Bains,Wicket Keeper,1000000,Rajasthan Royals,2014,Indian
Ankush Bains,Wicket Keeper,1000000,Chennai Super Kings,2015,Indian
Ankush Bains,Wicket Keeper,1000000,Rising Pune Supergiant,2016,Indian
Ankush Bains,Wicket Keeper,2000000,Delhi Capitals,2019,Indian
Anmolpreet Singh,Batsman,8000000,Mumbai Indians,2019,Indian
Anmolpreet Singh,Batsman,2000000,Mumbai Indians,2022,Indian
Anrich Nortje,Bowler,2000000,Kolkata Knight Riders,2019,Overseas
Ansh Patel,All-Rounder,2000000,Punjab Kings,2022,Indian
Anuj Rawat,Wicket Keeper,8000000,Rajasthan Royals,2020,Indian
Anuj Rawat,Wicket Keeper,34000000,Royal Challengers Bangalore,2022,Indian
Anukul Roy,All-Rounder,2000000,Mumbai Indians,2018,Indian
Anukul Roy,All-Rounder,2000000,Kolkata Knight Riders,2022,Indian
Anunay Singh,All-Rounder,2000000,Rajasthan Royals,2022,Indian
Anureet Singh,Bowler,2000000,Kings XI Punjab,2014,Indian
Anureet Singh,Bowler,3000000,Rajasthan Royals,2018,Indian
Apoorv Vijay Wankhade,Batsman,1000000,Mumbai Indians,2014,Indian
Apoorv Vijay Wankhade,Batsman,2000000,Kolkata Knight Riders,2018,Indian
Arjun Tendulkar,All-Rounder,2000000,Mumbai Indians,2021,Indian
Arjun Tendulkar,All-Rounder,3000000,Mumbai Indians,2022,Indian
Armaan Jaffer,Batsman,1000000,Kings XI Punjab,2016,Indian
Arshdeep Singh,Bowler,2000000,Kings XI Punjab,2019,Indian
Aryaman Vikram Birla,All-Rounder,3000000,Rajasthan Royals,2018,Indian
Aryan Juyal,Wicket Keeper,2000000,Mumbai Indians,2022,Indian
Asela Gunarathna,Batsman,3000000,Mumbai Indians,2017,Overseas
Ashish Nehra,Bowler,20000000,Chennai Super Kings,2014,Indian
Ashish Nehra,Bowler,55000000,Sunrisers Hyderabad,2016,Indian
Ashish Reddy,Bowler,2000000,Sunrisers Hyderabad,2014,Indian
Ashok Dinda,Bowler,15000000,Royal Challengers Bangalore,2014,Indian
Ashok Dinda,Bowler,5000000,Rising Pune Supergiant,2016,Indian
Ashok Sharma,Bowler,5500000,Kolkata Knight Riders,2022,Indian
Ashton Turner,All-Rounder,5000000,Rajasthan Royals,2019,Indian
Ashwin Hebbar,Batsman,2000000,Delhi Capitals,2022,Indian
Asif K M,Bowler,4000000,Chennai Super Kings,2018,Indian
Atharva Taide,All-Rounder,2000000,Punjab Kings,2022,Indian
Avesh Khan,Bowler,7000000,Delhi Daredevils,2018,Indian
Avesh Khan,Bowler,100000000,Lucknow Super Giants,2022,Indian
Axar Rajesh Patel,All-Rounder,50000000,Delhi Capitals,2019,Indian
Ayush Badoni,All-Rounder,2000000,Lucknow Super Giants,2022,Indian
B. Sai Sudharsan,All-Rounder,2000000,Gujarat Titans,2022,Indian
Baba Aparajith,Batsman,1000000,Chennai Super Kings,2014,Indian
Baba Aparajith,All-Rounder,1000000,Rising Pune Supergiant,2016,Indian
Baba Indrajith,Wicket Keeper,2000000,Kolkata Knight Riders,2022,Indian
Baltej Dhanda,Bowler,2000000,Punjab Kings,2022,Indian
Bandaru Ayyappa,Bowler,2000000,Delhi Capitals,2019,Indian
Barinder Singh Saran,Bowler,1000000,Rajasthan Royals,2015,Indian
Barinder Singh Sran,Bowler,12000000,Sunrisers Hyderabad,2016,Indian
Barinder Singh Sran,Bowler,22000000,Kings XI Punjab,2018,Indian
Barinder Singh Sran,Bowler,34000000,Mumbai Indians,2019,Indian
Basil Thampi,Bowler,8500000,Gujarat Lions,2017,Indian
Basil Thampi,Bowler,9500000,Sunrisers Hyderabad,2018,Indian
