Name,ID,Genres,Followers,Popularity,Playlist,Total Count,Count in Playlist 1,Count in Playlist 2
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",10740384,79,Playlist 1,2,2,0
Taylor Swift,06HL4z0CvFAxyc27GXpf02,['pop'],94400005,100,Both,3,1,2
fun.,5nCi3BB41mBaMH9gfr6Su0,"['baroque pop', 'metropopolis']",3420049,64,Playlist 1,1,1,0
George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,"['folk-pop', 'neo-singer-songwriter', 'talent show']",4146533,71,Playlist 1,1,1,0
Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",5579455,74,Playlist 1,2,2,0
John Mayer,0hEurMDQu99nJRq8pTxO14,"['neo mellow', 'singer-songwriter']",5976060,75,Playlist 1,4,4,0
Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']",2918167,65,Playlist 1,1,1,0
Led Zeppelin,36QJpDe2go2KgaRleHCDTp,"['album rock', 'classic rock', 'hard rock', 'rock']",13941561,74,Playlist 1,1,1,0
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",24864684,83,Playlist 1,1,1,0
Oasis,2DaxqgrOhkeH0fpeiQq2f4,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",9425815,74,Playlist 1,2,2,0
U2,51Blml2LZPmy7TTiAg47vQ,"['irish rock', 'permanent wave', 'rock']",11759728,75,Playlist 1,1,1,0
The Killers,0C0XlULifJtAgn6ZNCW2eu,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",7175285,74,Playlist 1,1,1,0
The Script,3AQRLZ9PuTAozP28Skbq8V,"['celtic rock', 'pop']",8099929,71,Playlist 1,1,1,0
Hozier,2FXC3k01G6Gw61bmprjgqS,"['irish singer-songwriter', 'modern rock', 'pov: indie']",6183294,80,Playlist 1,1,1,0
Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,"['modern rock', 'pop']",12068563,74,Both,4,3,1
The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",2666452,69,Playlist 1,1,1,0
Eagles,0ECwFtbIWEVNwjlrfc6xoL,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",10164292,74,Playlist 1,1,1,0
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'singer-songwriter pop', 'uk pop']",115740668,86,Both,2,1,1
ABBA,0LcJLqbBmaGUft1e9Mm8HV,"['europop', 'swedish pop']",11298447,77,Playlist 1,1,1,0
Kings of Leon,2qk9voo8llSGYcZ6xrBzKx,"['modern rock', 'rock']",5307595,72,Playlist 1,2,2,0
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,"['indie pop', 'la indie', 'pov: indie']",2070120,76,Playlist 1,2,2,0
