Artist 1,Artist 2,Popular Collab,URL,Popularity,Artist From
Taylor Swift,Phoebe Bridgers,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),https://open.spotify.com/track/01K4zKU104LyJ8gMb7227B,78.0,Artists in Different Playlists
Taylor Swift,Gary Lightbody,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),https://open.spotify.com/track/0y6kdSRCVQhSsHSpWvTUm7,73.0,Artists in Different Playlists
Taylor Swift,Panic! At The Disco,ME! (feat. Brendon Urie of Panic! At The Disco),https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45,80.0,Both Artists in Same Playlists
Taylor Swift,Shawn Mendes,Lover (Remix) [feat. Shawn Mendes],https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0,77.0,Artists in Different Playlists
Taylor Swift,Clean Bandit,You Need To Calm Down - Clean Bandit Remix,https://open.spotify.com/track/7Bjf96uNizpvXLvNyOJpst,52.0,Artists in Different Playlists
Taylor Swift,Ed Sheeran,End Game,https://open.spotify.com/track/2x0WlnmfG39ZuDmstl9xfX,82.0,Both Artists in Same Playlists
Taylor Swift,Maren Morris,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),https://open.spotify.com/track/4CHpVfAhuxNJ3ibExe6kxO,66.0,Artists in Different Playlists
Billy Joel,John Mayer,"This Is The Time (feat. John Mayer) - Live at Shea Stadium, Queens, NY - July 2008",https://open.spotify.com/track/5Wf8sdQL7e9vHOVBDdGRdd,31.0,Artists from Same Playlist
U2,Green Day,The Saints Are Coming,https://open.spotify.com/track/6uQL0epVs9N9Bergafaf6x,44.0,Artists from Same Playlist
U2,Kygo,You’re The Best Thing About Me - U2 Vs. Kygo,https://open.spotify.com/track/4QWSk7Ynu34r3EOHSwp9nI,46.0,Artists in Different Playlists
The Killers,Phoebe Bridgers,Runaway Horses (feat. Phoebe Bridgers) - Abridged,https://open.spotify.com/track/3PeCWDczrGqdD1E3mbok2X,47.0,Artists from Same Playlist
The Killers,Clean Bandit,Caution - Clean Bandit Remix,https://open.spotify.com/track/73A4FC5eIihO0swjveMDTl,34.0,Artists in Different Playlists
Ed Sheeran,Bruno Mars,BLOW (with Chris Stapleton & Bruno Mars),https://open.spotify.com/track/6EbduYTr62sSzvl36wWiFM,64.0,Artists in Different Playlists
Ed Sheeran,Camila Cabello,South of the Border (feat. Camila Cabello & Cardi B),https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,76.0,Artists in Different Playlists
Ed Sheeran,Taylor Swift,The Joker And The Queen (feat. Taylor Swift),https://open.spotify.com/track/6N1K5OVVCopBjGViHs2IvP,70.0,Both Artists in Same Playlists
Kings of Leon,Mark Ronson,Pistol of Fire - Mark Ronson Remix,https://open.spotify.com/track/2qOOsAgIpqXElQN7fkfj9N,23.0,Artists in Different Playlists
Maroon 5,Wiz Khalifa,Payphone,https://open.spotify.com/track/4P0osvTXoSYZZC2n8IFH3c,73.0,Artists in Different Playlists
Maroon 5,Tainy,Button (feat. Anuel AA & Tainy),https://open.spotify.com/track/6FDKYM0lBf6zqrg8cFokPd,50.0,Artists in Different Playlists
Maroon 5,Megan Thee Stallion,Beautiful Mistakes (feat. Megan Thee Stallion),https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL,80.0,Artists in Different Playlists
