Track_Name,Track_ID,URL,Artist(s),Album,Popularity,Duration,Tempo,Key,Mode,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveliness,Valence,Time_Signature,Common Artist
Is It Over Now? (Taylor's Version) (From The Vault),spotify:track:1Iq8oo9XkmmvCQiGOfORiz,https://open.spotify.com/track/1Iq8oo9XkmmvCQiGOfORiz,['Taylor Swift'],1989 (Taylor's Version),94,3.82,100.012,0,1,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,4,Taylor Swift
Now That We Don't Talk (Taylor's Version) (From The Vault),spotify:track:5KD6AEm19QnMbfWpfoOHMl,https://open.spotify.com/track/5KD6AEm19QnMbfWpfoOHMl,['Taylor Swift'],1989 (Taylor's Version),92,2.44,109.994,0,1,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,4,Taylor Swift
Anti-Hero,spotify:track:0V3wPSX9ygBnCm8psDIegu,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,['Taylor Swift'],Midnights,92,3.34,97.008,4,1,0.637,0.643,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,4,Taylor Swift
Lover,spotify:track:1dGr1c8CrMLDpV6mPbImSI,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI,['Taylor Swift'],Lover,92,3.69,68.534,7,1,0.359,0.543,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,4,Taylor Swift
"""Slut!"" (Taylor's Version) (From The Vault)",spotify:track:71BqAINEnezjQfxE4VuJfq,https://open.spotify.com/track/71BqAINEnezjQfxE4VuJfq,['Taylor Swift'],1989 (Taylor's Version),91,3.01,77.983,7,1,0.629,0.413,-13.178,0.055,0.345,7.62e-05,0.0603,0.306,4,Taylor Swift
House of Memories,spotify:track:2DgdHcjWmO3qd50RzuBLgZ,https://open.spotify.com/track/2DgdHcjWmO3qd50RzuBLgZ,['Panic! At The Disco'],Death of a Bachelor,83,3.48,109.952,11,0,0.506,0.817,-5.051,0.0335,0.00272,0.0,0.0486,0.506,4,Panic! At The Disco
ME! (feat. Brendon Urie of Panic! At The Disco),spotify:track:2Rk4JlNc2TPmZe2af99d45,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45,"['Taylor Swift', 'Brendon Urie', 'Panic! At The Disco']",Lover,80,3.22,182.162,0,1,0.61,0.83,-4.105,0.0571,0.033,0.0,0.118,0.728,4,Panic! At The Disco
I Write Sins Not Tragedies,spotify:track:4bPQs0PHn4xbipzdPfn6du,https://open.spotify.com/track/4bPQs0PHn4xbipzdPfn6du,['Panic! At The Disco'],A Fever You Can't Sweat Out,75,3.11,170.094,9,0,0.569,0.83,-4.106,0.14,0.0807,0.0,0.114,0.609,4,Panic! At The Disco
Emperor's New Clothes,spotify:track:3px2rAPu74ltbkf9eZsZ8h,https://open.spotify.com/track/3px2rAPu74ltbkf9eZsZ8h,['Panic! At The Disco'],Death of a Bachelor,71,2.64,94.481,1,1,0.562,0.904,-4.947,0.0807,0.00302,0.0,0.0433,0.651,4,Panic! At The Disco
Don't Threaten Me with a Good Time,spotify:track:2fh3bZ8jZhMxOcfESE9nQY,https://open.spotify.com/track/2fh3bZ8jZhMxOcfESE9nQY,['Panic! At The Disco'],Death of a Bachelor,70,3.55,183.825,1,0,0.559,0.895,-4.476,0.0832,0.0154,0.0,0.175,0.59,4,Panic! At The Disco
