Track_Name,Track_ID,URL,Artist(s),Album,Popularity,Duration,Tempo,Key,Mode,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveliness,Valence,Time_Signature,Common Genre
Believer,spotify:track:0pqnGHJpmpxLKifKRmU6WP,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,['Imagine Dragons'],Evolve,89,3.41,124.949,10,0,0.776,0.78,-4.374,0.128,0.0622,0.0,0.081,0.666,4,modern rock
Thunder,spotify:track:1zB4vmk8tFRmM9UULNzbLB,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,['Imagine Dragons'],Evolve,87,3.12,167.997,0,1,0.605,0.822,-4.833,0.0438,0.00671,0.134,0.147,0.288,4,modern rock
Bones,spotify:track:54ipXppHLA8U4yqpOFTUhr,https://open.spotify.com/track/54ipXppHLA8U4yqpOFTUhr,['Imagine Dragons'],Mercury - Acts 1 & 2,86,2.75,114.061,5,0,0.772,0.75,-3.67,0.0455,0.0201,0.0,0.074,0.587,4,modern rock
Whatever It Takes,spotify:track:6Qn5zhYkTa37e91HC1D7lb,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb,['Imagine Dragons'],Evolve,84,3.35,134.945,10,0,0.672,0.655,-5.021,0.0311,0.0362,0.0,0.117,0.556,4,modern rock
Enemy (with JID) - from the series Arcane League of Legends,spotify:track:3CIyK1V4JEJkg02E4EJnDl,https://open.spotify.com/track/3CIyK1V4JEJkg02E4EJnDl,"['Imagine Dragons', 'JID', 'Arcane', 'League of Legends']",Mercury - Acts 1 & 2,83,2.89,77.011,11,0,0.728,0.783,-4.424,0.266,0.237,0.0,0.434,0.555,4,modern rock
I Wanna Be Yours,spotify:track:5XeFesFbtLpXzIVDNQP22n,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n,['Arctic Monkeys'],AM,95,3.07,67.528,0,0,0.464,0.417,-9.345,0.0256,0.136,0.022,0.0974,0.479,4,modern rock
Why'd You Only Call Me When You're High?,spotify:track:086myS9r57YsLbJpU0TgK9,https://open.spotify.com/track/086myS9r57YsLbJpU0TgK9,['Arctic Monkeys'],AM,90,2.69,92.004,2,1,0.691,0.631,-6.478,0.0368,0.0483,1.13e-05,0.104,0.8,4,modern rock
Do I Wanna Know?,spotify:track:5FVd6KXrgO9B3JPmC8OPst,https://open.spotify.com/track/5FVd6KXrgO9B3JPmC8OPst,['Arctic Monkeys'],AM,90,4.54,85.03,5,1,0.548,0.532,-7.596,0.0323,0.186,0.000263,0.217,0.405,4,modern rock
R U Mine?,spotify:track:2AT8iROs4FQueDv2c8q2KE,https://open.spotify.com/track/2AT8iROs4FQueDv2c8q2KE,['Arctic Monkeys'],AM,84,3.36,97.094,6,0,0.288,0.758,-5.692,0.0371,0.00616,0.0,0.303,0.619,4,modern rock
505,spotify:track:58ge6dfP91o9oXMzq3XkIS,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS,['Arctic Monkeys'],Favourite Worst Nightmare (Standard Version),82,4.23,140.267,0,1,0.52,0.852,-5.866,0.0543,0.00237,5.79e-05,0.0733,0.234,4,modern rock
