,Track_Name,Track_ID,URL,Artist(s),Album,Popularity,Duration,Tempo,Key,Mode,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveliness,Valence,Time_Signature,Playlist
0,Love on the Weekend,spotify:track:0oiCeOPwm4zhwfyIpAE37y,https://open.spotify.com/track/0oiCeOPwm4zhwfyIpAE37y,['John Mayer'],The Search for Everything,69,3.54,119.971,7,1,0.718,0.583,-7.884,0.0288,0.623,0.000681,0.0612,0.422,4,Playlist 1
1,Barcelona,spotify:track:3ieLey98V9mIIh3W9gBlPF,https://open.spotify.com/track/3ieLey98V9mIIh3W9gBlPF,['George Ezra'],Wanted on Voyage (Expanded Edition),70,3.15,93.997,5,1,0.629,0.572,-9.332,0.0307,0.32,0.000853,0.109,0.182,4,Playlist 1
2,Everglow,spotify:track:5qfZRNjt2TkHEL12r3sDEU,https://open.spotify.com/track/5qfZRNjt2TkHEL12r3sDEU,['Coldplay'],A Head Full of Dreams,70,4.71,146.107,4,1,0.534,0.445,-9.155,0.0292,0.456,0.0684,0.112,0.136,4,Playlist 1
3,High Hopes,spotify:track:6KkyuDhrEhR5nJVKtv9mCf,https://open.spotify.com/track/6KkyuDhrEhR5nJVKtv9mCf,['Kodaline'],In A Perfect World (Expanded Edition),68,3.84,77.278,4,1,0.488,0.487,-6.371,0.0305,0.577,0.0,0.193,0.219,4,Playlist 1
4,WALLS,spotify:track:41QhRnFDdhMLtR8tmnolbr,https://open.spotify.com/track/41QhRnFDdhMLtR8tmnolbr,['Kings of Leon'],WALLS,66,5.49,82.511,8,1,0.56,0.32,-14.34,0.0313,0.505,0.472,0.11,0.107,4,Playlist 1
5,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),spotify:track:0y6kdSRCVQhSsHSpWvTUm7,https://open.spotify.com/track/0y6kdSRCVQhSsHSpWvTUm7,"['Taylor Swift', 'Gary Lightbody']",Red (Taylor's Version),73,4.98,94.05,2,1,0.502,0.534,-5.954,0.0278,0.0399,0.0,0.0977,0.155,4,Playlist 1
6,O,spotify:track:77yuzxCS3csrgTPSW0pvyk,https://open.spotify.com/track/77yuzxCS3csrgTPSW0pvyk,['Coldplay'],Ghost Stories,64,5.39,136.998,10,1,0.371,0.216,-14.727,0.0358,0.911,0.826,0.0934,0.0645,4,Playlist 1
7,Slow Dancing in a Burning Room,spotify:track:2jdAk8ATWIL3dwT47XpRfu,https://open.spotify.com/track/2jdAk8ATWIL3dwT47XpRfu,['John Mayer'],Continuum,76,4.03,134.018,1,0,0.667,0.361,-8.69,0.0273,0.575,0.00506,0.0805,0.29,5,Playlist 1
8,Give Me Love,spotify:track:0SuG9kyzGRpDqrCWtgD6Lq,https://open.spotify.com/track/0SuG9kyzGRpDqrCWtgD6Lq,['Ed Sheeran'],+,73,8.77,116.068,1,1,0.526,0.328,-9.864,0.0461,0.694,0.0,0.112,0.11,4,Playlist 1
9,The Heart of Life,spotify:track:78DwRIo6Vj6wqteyerGetr,https://open.spotify.com/track/78DwRIo6Vj6wqteyerGetr,['John Mayer'],Continuum,67,3.3,175.958,1,1,0.495,0.238,-11.026,0.03,0.958,0.0118,0.0875,0.357,4,Playlist 1
10,I Know The End,spotify:track:0pJW1Xw3aY4Eh6k5iuBkfI,https://open.spotify.com/track/0pJW1Xw3aY4Eh6k5iuBkfI,['Phoebe Bridgers'],Punisher,74,5.74,111.826,1,1,0.323,0.323,-10.268,0.0351,0.33,0.0229,0.233,0.256,4,Playlist 1
11,Motion Sickness,spotify:track:5xo8RrjJ9CVNrtRg2S3B1R,https://open.spotify.com/track/5xo8RrjJ9CVNrtRg2S3B1R,['Phoebe Bridgers'],Stranger in the Alps,80,3.83,107.021,1,1,0.651,0.546,-9.021,0.0357,0.774,0.0437,0.0842,0.623,4,Playlist 1
12,Here Comes The Sun - Remastered 2009,spotify:track:6dGnYIeXmHdcikdzNNDMm2,https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2,['The Beatles'],Abbey Road (Remastered),86,3.1,129.171,9,1,0.557,0.54,-10.484,0.0347,0.0339,0.00248,0.179,0.394,4,Playlist 1
13,Hey Jude - 2015 Mix,spotify:track:1RP85mAmvJ8baqjP53kFJu,https://open.spotify.com/track/1RP85mAmvJ8baqjP53kFJu,['The Beatles'],The Beatles 1967 – 1970 (2023 Edition),63,7.19,147.363,10,1,0.38,0.554,-9.093,0.0253,0.0173,0.0,0.0996,0.574,4,Playlist 1
14,Stairway to Heaven - Remaster,spotify:track:5CQ30WqJwcep0pYcV4AMNc,https://open.spotify.com/track/5CQ30WqJwcep0pYcV4AMNc,['Led Zeppelin'],Led Zeppelin IV (Deluxe Edition),80,8.05,82.433,9,0,0.338,0.34,-12.049,0.0339,0.58,0.0032,0.116,0.197,4,Playlist 1
15,Good Riddance (Time of Your Life),spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,https://open.spotify.com/track/6ORqU0bHbVCRjXm9AjyHyZ,['Green Day'],Nimrod,82,2.56,94.605,7,1,0.475,0.432,-7.844,0.0302,0.183,0.0,0.161,0.648,4,Playlist 1
16,Wake Me up When September Ends,spotify:track:3ZffCQKLFLUvYM59XKLbVm,https://open.spotify.com/track/3ZffCQKLFLUvYM59XKLbVm,['Green Day'],American Idiot,81,4.76,104.98,7,1,0.546,0.814,-5.146,0.0314,0.023,0.0,0.0972,0.146,4,Playlist 1
17,Numb,spotify:track:2nLtzopw4rPReszdYBJU6h,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h,['Linkin Park'],Meteora,88,3.09,110.018,9,1,0.496,0.863,-4.153,0.0381,0.0046,0.0,0.639,0.243,4,Playlist 1
18,Chasing Cars,spotify:track:5hnyJvgoWiQUYZttV4wXy6,https://open.spotify.com/track/5hnyJvgoWiQUYZttV4wXy6,['Snow Patrol'],Eyes Open,83,4.47,104.011,9,1,0.56,0.595,-4.53,0.0274,0.199,6.47e-05,0.132,0.144,4,Playlist 1
19,Fast Car,spotify:track:2M9ro2krNb7nr7HSprkEgo,https://open.spotify.com/track/2M9ro2krNb7nr7HSprkEgo,['Tracy Chapman'],Tracy Chapman,82,4.95,103.951,4,0,0.711,0.292,-15.523,0.037,0.313,0.0,0.131,0.194,4,Playlist 1
20,She Will Be Loved - Radio Mix,spotify:track:4llK75pXNWZz6KAho2Gp16,https://open.spotify.com/track/4llK75pXNWZz6KAho2Gp16,['Maroon 5'],Songs About Jane: 10th Anniversary Edition,82,4.32,102.0,0,0,0.651,0.663,-5.569,0.0281,0.228,0.0,0.0994,0.465,4,Playlist 1
21,With Or Without You,spotify:track:6ADSaE87h8Y3lccZlBJdXH,https://open.spotify.com/track/6ADSaE87h8Y3lccZlBJdXH,['U2'],The Joshua Tree (Super Deluxe),82,4.93,110.171,2,1,0.54,0.429,-11.822,0.0285,0.000202,0.355,0.141,0.113,4,Playlist 1
22,Wonderwall - Remastered,spotify:track:5qqabIl2vWzo9ApSC317sa,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa,['Oasis'],(What's The Story) Morning Glory? [Remastered],81,4.31,174.302,2,1,0.378,0.896,-4.066,0.0407,0.000452,0.0,0.194,0.469,4,Playlist 1
23,Don't Look Back in Anger - Remastered,spotify:track:0UvCh63URrLFcPkKt99hHd,https://open.spotify.com/track/0UvCh63URrLFcPkKt99hHd,['Oasis'],(What's The Story) Morning Glory? [Remastered],75,4.83,162.937,0,1,0.327,0.938,-3.237,0.0645,0.0708,3.79e-06,0.148,0.326,4,Playlist 1
24,I Will Wait,spotify:track:5PRRthP9SLfbXB359MfIWv,https://open.spotify.com/track/5PRRthP9SLfbXB359MfIWv,['Mumford & Sons'],Babel (Deluxe Version),73,4.61,131.286,1,1,0.486,0.769,-5.14,0.0341,0.0119,0.00832,0.197,0.393,4,Playlist 1
25,The Man Who Can't Be Moved,spotify:track:3nqqDo8CcCLke3ZoTgiOKf,https://open.spotify.com/track/3nqqDo8CcCLke3ZoTgiOKf,['The Script'],The Script,77,4.02,99.894,10,1,0.605,0.629,-5.051,0.0279,0.437,0.0,0.097,0.308,4,Playlist 1
26,Use Somebody,spotify:track:5VGlqQANWDKJFl0MBG3sg2,https://open.spotify.com/track/5VGlqQANWDKJFl0MBG3sg2,['Kings of Leon'],Only By The Night,80,3.85,137.028,0,1,0.276,0.715,-5.356,0.0432,0.00552,0.000417,0.201,0.173,4,Playlist 1
27,She's Always a Woman,spotify:track:5RgFlk1fcClZd0Y4SGYhqH,https://open.spotify.com/track/5RgFlk1fcClZd0Y4SGYhqH,['Billy Joel'],The Stranger (Legacy Edition),76,3.36,176.631,3,1,0.292,0.324,-11.996,0.0346,0.797,0.000473,0.12,0.384,3,Playlist 1
28,1973,spotify:track:1BV0m40U0M4t1SLIsDnwZl,https://open.spotify.com/track/1BV0m40U0M4t1SLIsDnwZl,['James Blunt'],All the Lost Souls,72,4.67,123.007,9,1,0.72,0.668,-7.928,0.0269,0.0652,0.00664,0.0789,0.768,4,Playlist 1
29,Mr. Brightside,spotify:track:003vvx7Niy0yvhvHt4a68B,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,['The Killers'],Hot Fuss,88,3.72,148.033,1,1,0.352,0.911,-5.23,0.0747,0.00121,0.0,0.0995,0.236,4,Playlist 1
30,Vienna,spotify:track:4U45aEWtQhrm8A5mxPaFZ7,https://open.spotify.com/track/4U45aEWtQhrm8A5mxPaFZ7,['Billy Joel'],The Stranger (Legacy Edition),81,3.57,124.936,10,1,0.532,0.495,-6.662,0.0343,0.659,0.0,0.0754,0.308,4,Playlist 1
31,Landslide,spotify:track:5ihS6UUlyQAfmp48eSkxuQ,https://open.spotify.com/track/5ihS6UUlyQAfmp48eSkxuQ,['Fleetwood Mac'],Fleetwood Mac,82,3.32,159.375,7,0,0.414,0.161,-22.32,0.0318,0.883,0.000223,0.117,0.423,4,Playlist 1
32,Go Your Own Way - 2004 Remaster,spotify:track:07GvNcU1WdyZJq3XxP0kZa,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa,['Fleetwood Mac'],Rumours,83,3.73,135.448,5,1,0.583,0.947,-5.12,0.0378,0.0185,0.00109,0.0679,0.803,4,Playlist 1
33,Dancing Queen,spotify:track:0GjEhVFGZW8afUYGChu3Rr,https://open.spotify.com/track/0GjEhVFGZW8afUYGChu3Rr,['ABBA'],Arrival,86,3.84,100.804,9,1,0.543,0.87,-6.514,0.0428,0.358,0.000939,0.792,0.754,4,Playlist 1
34,Iris,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs,['The Goo Goo Dolls'],Dizzy up the Girl,88,4.83,155.925,11,0,0.315,0.715,-8.072,0.0362,0.00125,7.97e-06,0.0942,0.497,3,Playlist 1
35,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",spotify:track:4LloVtxNZpeh7q7xdi1DQc,https://open.spotify.com/track/4LloVtxNZpeh7q7xdi1DQc,['John Mayer'],Where the Light Is: John Mayer Live In Los Angeles,74,4.39,173.509,5,1,0.315,0.296,-13.262,0.0315,0.771,0.0,0.702,0.435,4,Playlist 1
36,Yesterday - Remastered 2009,spotify:track:3BQHpFgAp4l80e1XslIjNI,https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI,['The Beatles'],Help! (Remastered),80,2.09,96.529,5,1,0.332,0.179,-11.83,0.0326,0.879,0.0,0.0886,0.315,4,Playlist 1
37,Nine in the Afternoon - Single Mix,spotify:track:3oap5wNMWwX1dT3AVKwLzH,https://open.spotify.com/track/3oap5wNMWwX1dT3AVKwLzH,['Panic! At The Disco'],Pretty. Odd.,56,3.19,155.189,10,1,0.405,0.689,-5.75,0.0365,0.0843,0.0,0.207,0.397,4,Playlist 1
38,Northern Downpour,spotify:track:0tutU5E5kMR3bY8sZllpoJ,https://open.spotify.com/track/0tutU5E5kMR3bY8sZllpoJ,['Panic! At The Disco'],Pretty. Odd.,51,4.13,170.173,5,1,0.47,0.474,-9.406,0.0262,0.0643,0.0,0.0645,0.241,4,Playlist 1
39,When the Day Met the Night,spotify:track:64TQPdiQqWknjFhPL9QmxJ,https://open.spotify.com/track/64TQPdiQqWknjFhPL9QmxJ,['Panic! At The Disco'],Pretty. Odd.,46,4.9,130.276,7,1,0.432,0.656,-6.889,0.0419,0.0618,6.01e-05,0.391,0.171,4,Playlist 1
40,Secrets,spotify:track:1NhPKVLsHhFUHIOZ32QnS2,https://open.spotify.com/track/1NhPKVLsHhFUHIOZ32QnS2,['OneRepublic'],Waking Up,79,3.74,148.021,2,1,0.516,0.764,-6.223,0.0366,0.0717,0.0,0.115,0.376,4,Playlist 1
41,Magic,spotify:track:23khhseCLQqVMCIT1WMAns,https://open.spotify.com/track/23khhseCLQqVMCIT1WMAns,['Coldplay'],Ghost Stories,75,4.75,93.457,6,0,0.738,0.482,-8.917,0.0402,0.0266,0.621,0.106,0.352,4,Playlist 1
42,Some Nights,spotify:track:67WTwafOMgegV6ABnBQxcE,https://open.spotify.com/track/67WTwafOMgegV6ABnBQxcE,['fun.'],Some Nights,72,4.62,107.938,0,1,0.672,0.738,-7.045,0.0506,0.0178,6.75e-05,0.0927,0.392,4,Playlist 1
43,Love Of My Life - Remastered 2011,spotify:track:4YJUTdZ0Pgl0ZeNyHYXeLd,https://open.spotify.com/track/4YJUTdZ0Pgl0ZeNyHYXeLd,['Queen'],A Night At The Opera (Deluxe Edition 2011 Remaster),74,3.62,154.175,5,1,0.329,0.179,-11.589,0.0299,0.933,5.04e-06,0.115,0.255,4,Playlist 1
44,Hotel California - 2013 Remaster,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,['Eagles'],Hotel California (2013 Remaster),85,6.52,147.125,2,1,0.579,0.508,-9.484,0.027,0.00574,0.000494,0.0575,0.609,4,Playlist 1
45,Friday I'm In Love,spotify:track:4QlzkaRHtU8gAdwqjWmO8n,https://open.spotify.com/track/4QlzkaRHtU8gAdwqjWmO8n,['The Cure'],Wish,79,3.59,136.205,0,0,0.526,0.763,-12.663,0.0341,0.00126,6.75e-05,0.359,0.514,4,Playlist 1
46,Bohemian Rhapsody - Remastered 2011,spotify:track:4u7EnebtmKWzUH433cf5Qv,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,['Queen'],A Night At The Opera (2011 Remaster),83,5.91,71.105,0,0,0.414,0.404,-9.928,0.0499,0.271,0.0,0.3,0.224,4,Playlist 1
47,Cough Syrup,spotify:track:1UqhkbzB1kuFwt2iy4h29Q,https://open.spotify.com/track/1UqhkbzB1kuFwt2iy4h29Q,['Young the Giant'],Young The Giant (Special Edition),72,4.16,128.978,11,0,0.534,0.721,-7.307,0.0417,0.0343,6.24e-06,0.115,0.225,3,Playlist 1
48,Wonderful Tonight,spotify:track:6zC0mpGYwbNTpk9SKwh08f,https://open.spotify.com/track/6zC0mpGYwbNTpk9SKwh08f,['Eric Clapton'],Slowhand 35th Anniversary (Super Deluxe),76,3.75,95.542,7,1,0.572,0.214,-15.625,0.0293,0.649,0.129,0.125,0.485,4,Playlist 1
49,Take Me To Church,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI,['Hozier'],Hozier,86,4.03,128.945,4,0,0.566,0.664,-5.303,0.0464,0.634,0.0,0.116,0.437,4,Playlist 1
